VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Vehicle Type,CAFV Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,Census Tract
1N4AZ1CP11,King,Seattle,WA,90614,2024,Tesla,Model S,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,152,0,40,244123328,POINT (-121.54978712555557 47.627848703396616),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP12,San Francisco,San Francisco,WA,92310,2018,Ford,F-150 Lightning,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,230,0,23,594370539,POINT (-121.7439045004812 47.531256827544276),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP13,Los Angeles,Los Angeles,WA,90047,2024,Audi,Q4 e-tron,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,230,0,47,757148060,POINT (-121.86229270781986 47.67127741287882),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP14,King,Bellevue,WA,97260,2022,Nissan,Leaf,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,296,0,25,938658939,POINT (-121.36683627056289 46.62728123329786),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP15,Multnomah,Portland,WA,93189,2021,Ford,Mustang Mach-E,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,115,0,2,208252189,POINT (-122.38139809023528 46.151220845313716),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP16,Los Angeles,Los Angeles,WA,90284,2019,Ford,F-150 Lightning,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,83,0,28,955251113,POINT (-121.1938810268022 47.30176064238409),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP17,San Francisco,San Francisco,WA,99242,2015,Tesla,Model S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,98,0,45,544651182,POINT (-121.67619679324349 47.94155367048693),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP18,San Francisco,San Francisco,WA,91752,2023,Nissan,Ariya,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,132,0,25,730549042,POINT (-122.93380295959466 47.2962122720728),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP19,Los Angeles,Los Angeles,WA,97680,2020,Chevrolet,Bolt EV,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,92,0,8,995374119,POINT (-121.75852674872314 46.569446827000434),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP20,San Francisco,San Francisco,WA,90271,2019,Chevrolet,Volt,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,128,0,36,680532637,POINT (-121.67388251029972 46.72175669711339),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP21,San Francisco,San Francisco,WA,92841,2019,Nissan,Ariya,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,289,0,7,411322327,POINT (-121.13604137200772 46.54017132178703),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP22,San Francisco,San Francisco,WA,98257,2019,Chevrolet,Volt,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,58,0,1,738973478,POINT (-122.93532015477452 47.83525123231531),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP23,Los Angeles,Los Angeles,WA,96307,2021,Chevrolet,Volt,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,83,0,48,919686609,POINT (-121.12763684385013 46.63395814228669),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP24,Multnomah,Portland,WA,90867,2021,Audi,Q4 e-tron,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,174,0,17,163061608,POINT (-122.88630160360863 47.360388646151186),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP25,San Francisco,San Francisco,WA,90584,2022,Chevrolet,Volt,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,155,0,4,664624886,POINT (-122.87267952590302 47.86863294120787),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP26,San Francisco,San Francisco,WA,92016,2022,Nissan,Leaf,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,3,519937534,POINT (-122.26377115526553 46.82145714767222),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP27,King,Bellevue,WA,96248,2016,Audi,e-tron,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,227,0,4,195492139,POINT (-122.86097491839193 47.606041072820545),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP28,King,Seattle,WA,95686,2024,Nissan,Leaf,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,193,0,30,200310339,POINT (-121.01799592852906 47.19577468761233),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP29,Los Angeles,Los Angeles,WA,93178,2017,Chevrolet,Bolt EV,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,147,0,21,303548311,POINT (-122.29496740614951 46.66469068416868),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP30,Los Angeles,Los Angeles,WA,99367,2015,Tesla,Model X,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,246,0,13,819156300,POINT (-121.27686121394694 46.875749759793486),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP31,King,Seattle,WA,96533,2024,Ford,Mustang Mach-E,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,164,0,34,686813300,POINT (-122.35291465399538 47.13755199109262),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP32,Multnomah,Portland,WA,95749,2019,Nissan,Ariya,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,138,0,27,790071800,POINT (-122.39673683489085 46.62988772400779),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP33,San Francisco,San Francisco,WA,91420,2015,Chevrolet,Bolt EV,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,223,0,9,883217739,POINT (-122.82120115284495 47.26661689731286),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP34,San Francisco,San Francisco,WA,95555,2017,Chevrolet,Volt,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,223,0,22,642496404,POINT (-121.6039341769809 47.585048630084174),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP35,Los Angeles,Los Angeles,WA,95600,2015,Ford,Mustang Mach-E,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,210,0,48,605460137,POINT (-122.71790069278566 47.79638676925827),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP36,King,Seattle,WA,92945,2023,Audi,Q4 e-tron,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,254,0,49,443149091,POINT (-122.32038763834545 47.82762320154328),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP37,Los Angeles,Los Angeles,WA,92858,2024,Nissan,Leaf,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,250,0,9,557031664,POINT (-121.44713839791825 47.963862023045785),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP38,King,Bellevue,WA,91022,2020,Chevrolet,Volt,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,89,0,27,793160332,POINT (-121.58379855770019 47.49041277113645),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP39,King,Seattle,WA,99329,2019,Audi,e-tron,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,53,0,27,206824296,POINT (-122.83859099800968 47.43661579529673),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP40,Los Angeles,Los Angeles,WA,95364,2015,Tesla,Model 3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,209,0,23,379974972,POINT (-122.26693799618708 46.64746235970342),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP41,King,Seattle,WA,91850,2024,Audi,Q4 e-tron,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,288,0,20,477944120,POINT (-122.62197039256219 47.85409645734376),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP42,King,Bellevue,WA,94450,2018,Ford,Mustang Mach-E,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,85,0,33,806414523,POINT (-122.37798593717925 46.22608557579837),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP43,Multnomah,Portland,WA,96995,2015,Ford,Mustang Mach-E,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,136,0,11,872936722,POINT (-121.2590334144145 47.590378105791295),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP44,San Francisco,San Francisco,WA,95450,2017,Nissan,Ariya,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,21,982868958,POINT (-122.63169592453724 46.72909814575342),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP45,King,Bellevue,WA,95255,2018,Ford,Mustang Mach-E,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,134,0,26,130898691,POINT (-122.41173826273352 47.13860028126268),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP46,Multnomah,Portland,WA,97807,2015,Chevrolet,Bolt EV,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,227,0,5,654544911,POINT (-122.92940701458089 46.486041397027954),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP47,San Francisco,San Francisco,WA,95791,2023,Nissan,Leaf,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,170,0,25,423560727,POINT (-121.12512911662077 47.237117530155246),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP48,San Francisco,San Francisco,WA,97275,2015,Tesla,Model X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,142,0,48,152833487,POINT (-121.86894706213079 46.79116132763647),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP49,Multnomah,Portland,WA,90805,2023,Tesla,Model X,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,173,0,43,337167921,POINT (-122.42771230021353 47.764593475823155),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP50,San Francisco,San Francisco,WA,90397,2023,Tesla,Model Y,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,251,0,42,819805310,POINT (-121.27665289627085 47.26929251357059),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP51,King,Bellevue,WA,98597,2023,Audi,e-tron,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,79,0,41,915180571,POINT (-122.84752728607289 47.20862913586695),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP52,Los Angeles,Los Angeles,WA,97438,2015,Audi,Q4 e-tron,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,202,0,36,658402639,POINT (-122.81480705858593 46.219507754421564),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP53,King,Bellevue,WA,99082,2023,Chevrolet,Volt,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,145,0,43,212061255,POINT (-122.7362833827023 47.84910454522636),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP54,King,Bellevue,WA,97518,2016,Audi,e-tron,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,273,0,24,778653019,POINT (-122.9485998999507 46.82690750747477),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP55,King,Bellevue,WA,97571,2017,Audi,e-tron,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,94,0,24,466290143,POINT (-122.4032766493834 46.99204843640388),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP56,King,Bellevue,WA,97748,2019,Audi,e-tron,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,241,0,22,882892157,POINT (-121.19733877988189 46.706477405759934),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP57,Multnomah,Portland,WA,90597,2017,Chevrolet,Bolt EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,152,0,40,377965145,POINT (-121.11095057843639 47.92937636556199),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP58,Multnomah,Portland,WA,96087,2017,Nissan,Leaf,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,250,0,24,292701758,POINT (-122.93209398402556 47.05996929164933),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP59,King,Bellevue,WA,97585,2022,Nissan,Leaf,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,280,0,29,460625453,POINT (-122.98082787443839 47.12245040156255),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP60,San Francisco,San Francisco,WA,99933,2015,Nissan,Ariya,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,110,0,32,339092779,POINT (-122.24484066548585 47.47077375571601),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP61,Los Angeles,Los Angeles,WA,94950,2024,Tesla,Model X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,286,0,39,901165421,POINT (-122.46049744245514 46.705006895995005),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP62,King,Seattle,WA,99050,2024,Chevrolet,Bolt EV,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,120,0,2,503664102,POINT (-122.77790288108729 47.56629943184517),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP63,King,Seattle,WA,98881,2020,Tesla,Model X,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,152,0,47,324786844,POINT (-121.33960825358666 47.42848040744837),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP64,Multnomah,Portland,WA,99756,2024,Ford,Mustang Mach-E,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,15,648739434,POINT (-122.87355870649702 47.11106340636175),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP65,San Francisco,San Francisco,WA,92086,2022,Chevrolet,Volt,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,217,0,11,161565957,POINT (-122.99464558740193 47.50061378997855),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP66,Multnomah,Portland,WA,96975,2015,Nissan,Leaf,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,286,0,35,954457207,POINT (-121.05855224228459 46.382794310242275),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP67,San Francisco,San Francisco,WA,91923,2015,Ford,Mustang Mach-E,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,292,0,36,183543810,POINT (-122.61969774915312 47.96095871147563),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP68,San Francisco,San Francisco,WA,96751,2018,Tesla,Model X,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,57,0,21,426385513,POINT (-121.83702278118339 46.7597780546499),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP69,King,Bellevue,WA,95152,2020,Chevrolet,Volt,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,170,0,11,231495921,POINT (-122.24003741567148 47.56818049076954),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP70,Los Angeles,Los Angeles,WA,99943,2019,Tesla,Model Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,276,0,43,625334146,POINT (-121.34662596271872 46.865418060985434),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP71,King,Bellevue,WA,99070,2021,Nissan,Ariya,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,165,0,32,499360338,POINT (-121.71496987510265 46.04446802055433),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP72,Multnomah,Portland,WA,92859,2015,Nissan,Leaf,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,268,0,9,221091641,POINT (-121.21847951876768 47.29125241985568),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP73,Multnomah,Portland,WA,93249,2015,Nissan,Leaf,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,97,0,42,760605547,POINT (-122.72765311458194 46.50947085089597),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP74,Los Angeles,Los Angeles,WA,96151,2020,Nissan,Leaf,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,68,0,25,653450303,POINT (-122.81508493844449 47.62571757507371),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP75,Multnomah,Portland,WA,91070,2022,Chevrolet,Bolt EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,133,0,37,735029619,POINT (-121.5293017036325 46.55929500172052),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP76,Los Angeles,Los Angeles,WA,96230,2020,Ford,F-150 Lightning,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,278,0,37,676858901,POINT (-121.39131786486267 47.51648637957873),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP77,San Francisco,San Francisco,WA,94139,2021,Tesla,Model 3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,176,0,33,464602379,POINT (-121.26903963396009 47.50381227881575),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP78,Multnomah,Portland,WA,94098,2020,Ford,F-150 Lightning,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,83,0,11,517397811,POINT (-121.65472747516725 47.170260195391535),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP79,San Francisco,San Francisco,WA,95807,2019,Audi,e-tron,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,138,0,46,148737024,POINT (-122.3898593859217 46.48284471936776),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP80,King,Seattle,WA,97158,2023,Audi,e-tron,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,130,0,14,884229402,POINT (-121.2366175679972 46.9305625587493),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP81,King,Seattle,WA,98522,2016,Ford,F-150 Lightning,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,298,0,20,455998794,POINT (-122.31225585191 46.49635192082937),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP82,King,Seattle,WA,98234,2018,Ford,F-150 Lightning,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,117,0,9,304042792,POINT (-122.31138060465936 47.50167905021994),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP83,King,Seattle,WA,93914,2024,Nissan,Ariya,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,243,0,13,106376713,POINT (-122.56420714867495 46.267682759240344),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP84,King,Bellevue,WA,92160,2024,Nissan,Leaf,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,76,0,38,729310832,POINT (-122.57561891408187 46.14975231534697),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP85,Multnomah,Portland,WA,91047,2023,Ford,Mustang Mach-E,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,61,0,12,417575505,POINT (-121.42381563006015 46.671582151059674),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP86,Los Angeles,Los Angeles,WA,94086,2017,Ford,F-150 Lightning,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,93,0,47,830544012,POINT (-121.10409277786961 47.73722830241343),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP87,King,Seattle,WA,97199,2024,Ford,Mustang Mach-E,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,69,0,34,383412438,POINT (-122.79259188755839 46.9166562360019),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP88,King,Bellevue,WA,91726,2020,Ford,F-150 Lightning,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,178,0,17,344586752,POINT (-122.99440859013174 46.47703118900825),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP89,King,Seattle,WA,93414,2022,Chevrolet,Volt,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,256,0,33,560402444,POINT (-121.52083968220153 46.298738945220315),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
1N4AZ1CP90,King,Seattle,WA,97901,2020,Nissan,Ariya,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,127,0,17,891720107,POINT (-121.10638034383054 47.291172295917185),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000000
